Age, Male , Female 
18," 4,330 "," 4,330 "
19," 3,550 "," 3,710 "
20," 4,290 "," 4,610 "
21," 3,340 "," 3,330 "
22," 3,820 "," 3,760 "
23," 3,370 "," 3,190 "
24," 3,670 "," 3,210 "
25," 3,420 "," 3,160 "
26," 2,950 "," 2,780 "
27," 3,110 "," 2,730 "
28," 3,500 "," 3,190 "
29," 2,390 "," 2,250 "
30," 3,280 "," 3,480 "
31," 1,870 "," 1,760 "
32," 2,690 "," 2,240 "
33," 1,480 "," 1,420 "
34," 2,050 "," 1,810 "
35," 2,470 "," 2,210 "
36," 1,660 "," 1,630 "
37," 1,560 "," 1,380 "
38," 1,690 "," 1,800 "
39," 1,510 "," 1,340 "
40," 2,230 "," 2,190 "
41," 1,280 "," 1,030 "
42," 1,700 "," 1,350 "
43," 1,220 ", 860 
44," 1,190 ", 980 
45," 1,540 "," 1,260 "
46," 1,000 ", 780 
47, 860 , 690 
48," 1,060 "," 1,030 "
49, 730 , 740 
50," 1,210 "," 1,310 "
51, 680 , 600 
52," 1,050 ", 800 
53, 550 , 510 
54, 720 , 650 
55, 620 , 690 
56, 580 , 580 
57, 430 , 400 
58, 470 , 480 
59, 350 , 350 
60, 670 , 860 
61, 310 , 290 
62, 440 , 360 
63, 240 , 260 
64, 320 , 330 
65, 370 , 420 
66, 300 , 240 
67, 260 , 220 
68, 240 , 280 
69, 250 , 180 
70, 370 , 620 
71, 180 , 180 
72, 280 , 240 
73, 170 , 170 
74, 240 , 210 
75, 220 , 220 
76, 130 , 130 
77, 110 , 120 
78, 150 , 160 
79, 120 , 100 
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
